|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|1,210,816,399|0            |2025-02-07 00:19:34.551|
|1,210,822,454|0            |2025-02-07 00:19:33.822|
|1,210,821,882|0            |2025-02-07 00:19:33.554|
|1,210,821,805|0            |2025-02-07 00:19:33.424|
|1,210,819,650|0            |2025-02-07 00:19:33.382|
|1,210,821,731|0            |2025-02-07 00:19:33.307|
|1,210,821,640|0            |2025-02-07 00:19:33.147|
|1,210,820,873|0            |2025-02-07 00:19:32.588|
|1,210,817,201|0            |2025-02-07 00:19:32.495|
|1,210,823,915|0            |2025-02-07 00:19:32.495|
|1,210,822,273|0            |2025-02-07 00:19:31.682|
|1,210,822,169|0            |2025-02-07 00:19:31.552|
|1,210,822,072|0            |2025-02-07 00:19:31.427|
|1,210,817,176|0            |2025-02-07 00:19:31.255|
|1,210,821,552|0            |2025-02-07 00:19:30.956|
|1,210,821,473|0            |2025-02-07 00:19:30.853|
|1,210,817,189|0            |2025-02-07 00:19:30.243|
|1,210,817,178|0            |2025-02-07 00:19:30.136|
|1,210,817,168|0            |2025-02-07 00:19:29.999|
|1,210,817,160|0            |2025-02-07 00:19:29.897|
|1,210,821,917|0            |2025-02-07 00:19:29.291|
|1,210,821,881|0            |2025-02-07 00:19:29.189|
|1,210,824,304|0            |2025-02-07 00:19:29.114|
|1,210,821,821|0            |2025-02-07 00:19:29.081|
|1,210,821,294|0            |2025-02-07 00:19:28.707|
|1,210,821,093|0            |2025-02-07 00:19:28.346|
|1,210,820,146|0            |2025-02-07 00:19:28.243|
|1,210,824,105|0            |2025-02-07 00:19:26.953|
|1,210,821,683|0            |2025-02-07 00:19:26.950|
|1,210,821,619|0            |2025-02-07 00:19:26.853|
|1,210,821,556|0            |2025-02-07 00:19:26.755|
|1,210,821,104|0            |2025-02-07 00:19:26.562|
|1,210,821,013|0            |2025-02-07 00:19:26.452|
|1,210,821,495|0            |2025-02-07 00:19:26.385|
|1,210,821,450|0            |2025-02-07 00:19:26.266|
|1,210,820,825|0            |2025-02-07 00:19:26.244|
|1,210,821,402|0            |2025-02-07 00:19:26.155|
|1,210,818,236|0            |2025-02-07 00:19:26.117|
|1,210,821,377|0            |2025-02-07 00:19:26.044|
|1,210,817,042|0            |2025-02-07 00:19:25.982|
|1,210,821,347|0            |2025-02-07 00:19:25.945|
|1,210,817,137|0            |2025-02-07 00:19:25.744|
|1,210,823,944|0            |2025-02-07 00:19:24.813|
|1,210,819,176|0            |2025-02-07 00:19:24.108|
|1,210,821,234|0            |2025-02-07 00:19:23.819|
|1,210,817,118|0            |2025-02-07 00:19:23.617|
|1,210,823,745|0            |2025-02-07 00:19:22.671|
|1,210,823,679|0            |2025-02-07 00:19:22.550|
|1,210,820,756|0            |2025-02-07 00:19:22.288|
|1,210,820,691|0            |2025-02-07 00:19:22.192|
|1,210,820,630|0            |2025-02-07 00:19:22.091|
|1,210,817,531|0            |2025-02-07 00:19:21.925|
|1,210,821,305|0            |2025-02-07 00:19:20.562|
|1,210,821,213|0            |2025-02-07 00:19:20.456|
